consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
4623541,200098673,FRAGANCIAS,ESIKA,54.63,02-08-2023,15,452.9,430.195,509,0.245614035,0.68385346,4624.35,181,151,Inconstantes
50291766,200100407,TRATAMIENTO CORPORAL,ESIKA,17.47,05-08-2023,12,260.1,430.195,506,0.192982456,0.679782904,2607.69,100,89,Nuevas
33090625,200105188,CUIDADO PERSONAL,ESIKA,6.15,22-07-2023,16,250.1,430.195,520,0.263157895,0.698778833,3056.31,117,102,Constantes 1
50462889,210104279,BIJOUTERIE,ESIKA,24.9,25-07-2023,12,393.35,430.195,517,0.192982456,0.694708277,5417.03,191,159,Constantes 1
33090625,200099047,FRAGANCIAS,ESIKA,44.44,22-07-2023,16,250.1,430.195,520,0.263157895,0.698778833,3056.31,117,102,Constantes 1
50795365,200095430,CUIDADO PERSONAL,CYZONE,8.9,04-08-2023,20,568.2,430.195,507,0.333333333,0.681139756,2773.09,85,73,Nuevas
44045680,200105070,MAQUILLAJE,LBEL,39,21-07-2023,10,350.36,430.195,521,0.157894737,0.700135685,4409.45,131,103,Nuevas
39523851,200090452,FRAGANCIAS,ESIKA,47.9,27-07-2023,15,493.5,430.195,515,0.245614035,0.691994573,4013.95,141,119,Constantes 1
49877986,210100500,MAQUILLAJE,CYZONE,9.9,01-08-2023,12,251.53,430.195,510,0.192982456,0.685210312,4341.39,181,149,Constantes 2
49877986,200105125,CUIDADO PERSONAL,ESIKA,7.38,10-07-2023,17,315.04,430.195,532,0.280701754,0.715061058,4341.39,181,149,Constantes 2
50795365,210102613,COMPLEMENTOS,CYZONE,24.9,04-08-2023,20,568.2,430.195,507,0.333333333,0.681139756,2773.09,85,73,Nuevas
50795365,200108674,CUIDADO PERSONAL,ESIKA,8.9,04-08-2023,20,568.2,430.195,507,0.333333333,0.681139756,2773.09,85,73,Nuevas
48212689,200108807,CUIDADO PERSONAL,ESIKA,7.38,13-09-2023,10,157.4,430.195,467,0.157894737,0.626865672,4286.23,196,146,Constantes 3
42759880,200114940,FRAGANCIAS,ESIKA,34.9,28-08-2023,16,395.7,430.195,483,0.263157895,0.648575305,9042.67,338,250,Constantes 3
42670251,200100926,FRAGANCIAS,ESIKA,24.95,04-09-2023,20,324.01,430.195,476,0.333333333,0.639077341,8105.94,383,247,Inconstantes
50852121,200109166,MAQUILLAJE,CYZONE,14.9,04-09-2023,12,246.71,430.195,476,0.192982456,0.639077341,10290.04,453,277,Constantes 2
37789771,210102381,BIJOUTERIE,ESIKA,34.9,21-07-2023,12,398,430.195,521,0.192982456,0.700135685,1948.1,58,57,Constantes 1
46779789,210102006,COMPLEMENTOS,CYZONE,49.9,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
42909386,210102536,BIJOUTERIE,CYZONE,22.9,10-07-2023,10,461.1,430.195,532,0.157894737,0.715061058,3747.44,102,89,Inconstantes
50513580,200099614,MAQUILLAJE,ESIKA,3.9,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
37789771,200105188,CUIDADO PERSONAL,ESIKA,8.79,21-07-2023,12,398,430.195,521,0.192982456,0.700135685,1948.1,58,57,Constantes 1
48346014,200094066,FRAGANCIAS,CYZONE,10,10-07-2023,22,716.28,430.195,532,0.368421053,0.715061058,16470.83,665,469,Nuevas
48341519,200039855,FRAGANCIAS,CYZONE,37.9,10-07-2023,29,857.5,430.195,532,0.49122807,0.715061058,9324.74,384,284,Constantes 1
50941108,200107883,CUIDADO PERSONAL,CYZONE,5.1,21-07-2023,11,201.36,430.195,521,0.175438596,0.700135685,1802.35,85,75,Inconstantes
48433154,210102163,BIJOUTERIE,CYZONE,66.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
42670251,200113794,MAQUILLAJE,CYZONE,14.9,01-07-2023,26,354.75,430.195,541,0.438596491,0.727272727,8105.94,383,247,Inconstantes
46779789,200089509,FRAGANCIAS,ESIKA,29.9,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
42382701,200106360,FRAGANCIAS,CYZONE,29.9,10-07-2023,7,161.3,430.195,532,0.105263158,0.715061058,7478.88,310,254,Constantes 2
48433154,200112752,MAQUILLAJE,ESIKA,12.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
50513580,200101369,FRAGANCIAS,LBEL,29.9,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
37789771,200094936,FRAGANCIAS,CYZONE,25.9,21-07-2023,12,398,430.195,521,0.192982456,0.700135685,1948.1,58,57,Constantes 1
46779789,200109549,MAQUILLAJE,CYZONE,21.45,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
50773493,200094828,MAQUILLAJE,ESIKA,12.9,12-07-2023,15,335.51,430.195,530,0.245614035,0.712347354,2243.26,93,83,Constantes 1
50513580,200072913,FRAGANCIAS,ESIKA,12.3,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
50773493,200105147,MAQUILLAJE,LBEL,10,12-07-2023,15,335.51,430.195,530,0.245614035,0.712347354,2243.26,93,83,Constantes 1
48433154,200105017,FRAGANCIAS,CYZONE,21.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
46779789,200089507,FRAGANCIAS,ESIKA,40,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
46779789,200105005,FRAGANCIAS,CYZONE,41.9,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
47499070,200106447,MAQUILLAJE,ESIKA,14.9,10-07-2023,28,501.6,430.195,532,0.473684211,0.715061058,10074.13,449,279,Nuevas
50941108,200095426,CUIDADO PERSONAL,CYZONE,5.1,21-07-2023,11,201.36,430.195,521,0.175438596,0.700135685,1802.35,85,75,Inconstantes
46611063,200105130,MAQUILLAJE,LBEL,16.9,26-06-2023,21,569.1,430.195,546,0.350877193,0.734056988,4015.92,156,127,Constantes 1
37789771,200102351,MAQUILLAJE,ESIKA,20.9,21-07-2023,12,398,430.195,521,0.192982456,0.700135685,1948.1,58,57,Constantes 1
46779789,200089510,CUIDADO PERSONAL,CYZONE,22.9,21-07-2023,12,417.1,430.195,521,0.192982456,0.700135685,4312.88,152,119,Constantes 3
44045680,200105041,FRAGANCIAS,ESIKA,32.9,21-07-2023,10,350.36,430.195,521,0.157894737,0.700135685,4409.45,131,103,Nuevas
50387488,210095475,BIJOUTERIE,ESIKA,29.9,10-07-2023,5,170.6,430.195,532,0.070175439,0.715061058,2409.2,85,74,Inconstantes
50513580,200105188,CUIDADO PERSONAL,ESIKA,5.1,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
37789771,200101421,FRAGANCIAS,ESIKA,74.9,21-07-2023,12,398,430.195,521,0.192982456,0.700135685,1948.1,58,57,Constantes 1
48433154,200105188,CUIDADO PERSONAL,ESIKA,11.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
50773493,200090337,CUIDADO PERSONAL,ESIKA,20,12-07-2023,15,335.51,430.195,530,0.245614035,0.712347354,2243.26,93,83,Constantes 1
42670251,200104173,MAQUILLAJE,ESIKA,11.25,01-07-2023,26,354.75,430.195,541,0.438596491,0.727272727,8105.94,383,247,Inconstantes
48433154,210095249,CUIDADO PERSONAL,CYZONE,30.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
48433154,200105188,CUIDADO PERSONAL,ESIKA,8.79,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
50941108,200108671,FRAGANCIAS,ESIKA,39.96,21-07-2023,11,201.36,430.195,521,0.175438596,0.700135685,1802.35,85,75,Inconstantes
48433154,210100408,CUIDADO PERSONAL,CYZONE,30.9,21-07-2023,15,432.8,430.195,521,0.245614035,0.700135685,12139.58,470,285,Constantes 3
50852121,200095374,CUIDADO PERSONAL,ESIKA,7.38,01-07-2023,15,307.33,430.195,541,0.245614035,0.727272727,10290.04,453,277,Constantes 2
