CODEBELISTA,FECHAPROCESO,total_price
43364677,7/19/2024,44.9
43364677,8/12/2024,21.9
43364677,8/29/2024,41.51
43364677,9/16/2024,17.9
43767909,1/10/2023,1.24
43767909,1/31/2023,69.0
43767909,12/20/2022,19.95
44045680,1/12/2023,99.9
44045680,10/25/2023,74.9
44045680,10/5/2023,34.9
44045680,11/16/2023,20.9
44045680,12/11/2023,49.9
44045680,12/21/2023,9.9
44045680,12/22/2022,42.9
44045680,2/2/2023,21.9
44045680,2/23/2023,134.0
44045680,4/8/2023,36.9
44045680,5/24/2023,47.9
44045680,6/30/2023,23.9
44045680,7/21/2023,22.9
44045680,8/30/2023,15.07
44045680,8/9/2023,50.14
44045680,9/14/2023,23.9
44047470,1/11/2023,14.95
44047470,1/31/2023,74.0
44047470,2/20/2023,5.9
44047470,3/13/2023,12.9
44047470,4/25/2023,17.9
44047470,4/4/2023,6.51
44047470,5/17/2023,13.9
44047470,6/5/2023,59.9
44109905,12/27/2022,29.9
44109905,2/23/2023,35.9
44109905,2/9/2023,9.5
44109905,3/23/2023,27.9
44109905,4/13/2023,39.9
44109905,5/2/2024,32.9
44109905,5/23/2024,28.9
44109905,5/29/2023,46.9
44109905,5/5/2023,16.9
44109905,6/12/2024,13.9
44109905,7/10/2023,29.9
44109905,7/31/2024,49.9
44109905,7/8/2024,32.9
44109905,8/22/2024,14.9
44109905,8/4/2023,49.9
44196425,1/12/2024,47.9
44196425,1/16/2023,18.9
44196425,1/3/2023,13.9
44196425,10/10/2023,37.9
44196425,10/31/2023,26.0
44196425,11/20/2023,5.0
44196425,12/22/2023,27.9
44196425,12/7/2023,12.0
44196425,2/2/2024,9.98
44196425,2/28/2023,19.9
44196425,2/3/2023,57.0
44196425,3/27/2023,39.9
44196425,3/4/2024,59.9
44196425,4/14/2023,39.9
44196425,5/2/2023,50.9
44196425,8/14/2023,41.9
44196425,9/18/2023,40.9
44196425,9/8/2023,39.9
44242133,1/23/2023,34.9
44242133,1/3/2023,45.0
44242133,2/9/2023,24.9
44242133,3/2/2023,19.96
44371774,10/11/2024,36.44
44371774,11/7/2024,18.9
44371774,7/31/2024,41.9
44371774,7/5/2024,59.9
44371774,8/21/2024,27.0
44371774,9/10/2024,34.95
44371774,9/26/2024,1.0
44413795,1/17/2023,9.66
44413795,1/6/2023,23.9
44413795,2/2/2023,5.76
44413795,2/23/2023,59.9
44413795,3/16/2023,27.56
44413795,4/10/2023,22.9
44424029,3/21/2024,59.9
44424029,4/12/2024,33.3
44424029,5/27/2024,30.9
44424029,5/6/2024,7.38
44424029,6/14/2024,34.9
44424029,7/3/2024,59.0
44474727,10/28/2024,13.9
44474727,10/7/2024,12.9
44474727,11/18/2024,27.9
44474727,7/18/2024,14.9
44474727,8/28/2024,47.82
44474727,8/9/2024,24.9
44474727,9/12/2024,19.9
44479885,1/2/2023,16.54
44479885,1/24/2023,13.0
44479885,2/16/2023,45.9
44479885,3/11/2023,39.9
44479885,3/30/2023,7.38
44661489,1/18/2023,18.9
44661489,12/27/2022,75.0
44661489,2/8/2023,17.5
44661489,3/1/2023,34.9
44661489,3/7/2024,39.9
45325695,1/18/2024,16.4
45325695,10/10/2024,9.3
45325695,10/13/2023,24.9
45325695,11/2/2023,21.9
45325695,11/23/2023,59.9
45325695,11/6/2024,74.9
45325695,12/14/2023,24.44
45325695,12/28/2023,2.0
45325695,2/29/2024,7.38
45325695,2/8/2024,15.9
45325695,3/25/2024,7.38
45325695,4/11/2024,25.0
45325695,4/13/2023,8.79
45325695,5/2/2024,16.63
45325695,5/23/2024,32.9
45325695,5/25/2023,49.9
45325695,5/4/2023,32.9
45325695,6/12/2024,18.9
45325695,6/15/2023,18.45
45325695,7/23/2024,14.98
45325695,7/26/2023,5.1
45325695,7/4/2024,7.38
45325695,7/6/2023,12.47
45325695,8/17/2023,24.9
45325695,8/20/2024,11.9
45325695,8/4/2023,27.9
45325695,9/19/2024,36.0
45325695,9/21/2023,29.97
45325695,9/5/2024,74.9
45325695,9/6/2023,42.9
45494314,1/11/2024,11.74
45494314,1/13/2023,30.79
45494314,10/27/2023,39.9
45494314,10/4/2023,5.1
45494314,11/16/2023,22.9
45494314,12/22/2023,13.9
45494314,12/26/2022,82.9
45494314,12/5/2023,62.9
45494314,2/2/2024,28.28
45494314,2/24/2023,11.5
45494314,2/26/2024,79.9
45494314,2/6/2023,23.9
45494314,3/18/2024,49.9
45494314,3/20/2023,39.65
45494314,4/10/2023,29.0
45494314,5/2/2023,44.97
45494314,5/22/2023,29.38
45494314,6/9/2023,49.9
45494314,8/31/2023,74.9
45494314,8/9/2023,29.9
45494314,9/1/2023,19.9
45494314,9/14/2023,34.9
45579557,10/9/2024,8.99
45579557,11/4/2024,17.9
45579557,4/30/2024,34.9
45579557,5/22/2024,13.9
45579557,6/11/2024,11.47
45579557,7/19/2024,11.3
45579557,7/2/2024,40.0
45579557,8/13/2024,13.9
45579557,9/2/2024,52.9
45579557,9/23/2024,44.9
45680231,1/17/2023,26.9
45680231,2/28/2023,19.9
45680231,2/8/2023,18.9
45680231,3/20/2023,9.0
45680231,4/10/2023,79.9
45680231,5/22/2023,21.9
45680231,5/4/2023,22.9
45680231,6/12/2023,79.9
45697525,1/26/2023,14.9
45697525,1/6/2023,74.9
45697525,12/28/2022,74.9
45697525,2/15/2023,21.9
45697525,3/29/2023,12.5
45697525,3/7/2023,10.99
45697525,4/12/2023,10.99
45697525,5/10/2023,31.45
45697525,6/1/2023,12.9
45697525,6/12/2023,15.96
45869830,1/15/2024,28.9
45869830,1/16/2023,8.9
45869830,10/11/2023,9.9
45869830,10/9/2024,46.0
45869830,11/2/2023,29.9
45869830,11/22/2023,19.9
45869830,12/12/2023,44.9
45869830,2/28/2023,25.9
45869830,2/7/2023,19.9
45869830,2/7/2024,13.9
45869830,3/18/2024,13.9
45869830,3/21/2023,12.9
45869830,4/10/2023,29.9
45869830,4/12/2024,30.9
45869830,4/30/2024,47.9
45869830,5/2/2023,24.9
45869830,5/20/2024,24.95
45869830,5/23/2023,20.9
45869830,6/10/2024,20.9
45869830,6/14/2023,32.9
45869830,7/1/2024,21.9
45869830,7/12/2023,25.9
45869830,7/19/2024,21.9
45869830,7/4/2023,14.9
45869830,8/13/2024,74.9
45869830,8/17/2023,19.9
45869830,9/2/2024,43.9
45869830,9/20/2023,24.9
45869830,9/20/2024,27.9
45869830,9/5/2023,17.9
46016947,10/16/2023,9.95
46016947,10/31/2023,58.3
46016947,11/22/2023,13.5
46016947,5/2/2023,17.9
46016947,5/26/2023,18.9
46016947,6/15/2023,34.95
46016947,7/24/2023,27.0
