consultant_id,product_id,category,brand,price,date,purchase_frequency,recency
50131602,400097342,Others,GENERICA,0.13,2023-01-13,1,706
49909497,200108045,TRATAMIENTO CORPORAL,ESIKA,36.0,2023-01-10,1,709
45960978,200094066,FRAGANCIAS,CYZONE,49.0,2023-01-18,1,701
4932870,200105986,MAQUILLAJE,LBEL,37.0,2023-01-19,1,700
49209037,400097509,Others,GENERICA,0.8,2023-01-17,1,702
49692382,400095721,Others,GENERICA,0.8,2023-01-17,1,702
48807429,400095721,Others,GENERICA,0.8,2023-01-25,1,694
42318647,210100298,PROMOCION USUARIOS,ESIKA,3.0,2023-01-10,29,709
49349270,210098465,MAQUILLAJE,CYZONE,28.0,2023-01-16,1,703
50257967,400095667,Others,CYZONE,0.8,2023-01-26,1,693
49351232,200105195,CUIDADO PERSONAL,ESIKA,18.0,2023-01-10,4,709
50081044,200095517,CUIDADO PERSONAL,ESIKA,40.0,2023-01-16,2,703
50006778,400097341,Others,GENERICA,0.8,2023-01-19,1,700
49909497,400068882,Others,GENERICA,0.08,2023-01-10,2,709
49859163,400095721,Others,GENERICA,0.8,2023-01-13,1,706
49765045,210100407,CUIDADO PERSONAL,CYZONE,48.0,2023-01-13,1,706
49338309,200106346,FRAGANCIAS,ESIKA,95.0,2023-01-16,2,703
42318647,200077266,MAQUILLAJE,LBEL,48.0,2023-01-10,3,709
47593727,200095420,CUIDADO PERSONAL,ESIKA,18.0,2023-01-20,1,699
49830416,200090452,FRAGANCIAS,ESIKA,95.0,2023-01-18,3,701
49994427,200060760,FRAGANCIAS,CYZONE,81.0,2023-01-28,1,691
48722040,200108584,MAQUILLAJE,CYZONE,34.0,2023-01-13,1,706
47727421,200108583,MAQUILLAJE,CYZONE,34.0,2023-01-09,3,710
45210359,400096763,Others,GENERICA,0.04,2023-01-13,1,706
45960978,400097509,Others,GENERICA,0.8,2023-01-18,1,701
49567138,200082678,FRAGANCIAS,ESIKA,44.0,2023-01-02,1,717
50003442,210099817,ACCESORIOS COSMETICOS,ESIKA,30.0,2023-01-12,1,707
27666221,200093883,FRAGANCIAS,ESIKA,58.0,2023-01-03,1,716
42318647,200102713,MAQUILLAJE,ESIKA,50.0,2023-01-10,2,709
6625215,400097342,Others,GENERICA,0.13,2023-01-19,1,700
49720483,210101977,COMPLEMENTOS,CYZONE,111.0,2023-01-20,1,699
48653367,200084777,CUIDADO PERSONAL,CYZONE,32.0,2023-01-10,2,709
4932870,200105985,MAQUILLAJE,LBEL,37.0,2023-01-19,1,700
22267752,400095721,Others,GENERICA,0.8,2023-01-20,1,699
49567138,200095903,FRAGANCIAS,ESIKA,2.07,2023-01-02,1,717
42318647,200098788,TRATAMIENTO FACIAL,LBEL,90.0,2023-01-10,4,709
50003442,200106604,MAQUILLAJE,CYZONE,34.0,2023-01-12,1,707
7713045,400068882,Others,GENERICA,0.8,2023-01-02,1,717
40184831,400095667,Others,CYZONE,0.8,2023-01-12,1,707
46749324,400097836,Others,GENERICA,0.11,2023-05-10,1,589
42039837,400097699,Others,GENERICA,1.5,2023-05-05,3,594
50432025,400095690,Others,ESIKA,0.8,2023-05-05,1,594
33678932,200108674,CUIDADO PERSONAL,ESIKA,18.0,2023-05-05,8,594
43629654,210105262,VARIOS,ESIKA,0.27,2023-05-05,1,594
42039837,200106593,MAQUILLAJE,CYZONE,36.0,2023-05-05,1,594
48264662,400095708,Others,LBEL,0.8,2023-05-05,1,594
50648036,200108747,MAQUILLAJE,ESIKA,60.0,2023-05-05,1,594
42320366,400097842,Others,GENERICA,0.23,2023-05-05,1,594
42320366,210100298,PROMOCION USUARIOS,ESIKA,3.0,2023-05-05,1,594
33678932,200105188,CUIDADO PERSONAL,ESIKA,18.0,2023-05-05,8,594
48264662,400095672,Others,CYZONE,0.8,2023-05-05,1,594
42039837,400068882,Others,GENERICA,0.08,2023-05-05,9,594
33678932,210095652,MAQUILLAJE,CYZONE,40.0,2023-05-05,4,594
42320366,200106359,MUESTRAS COSMETICOS,CYZONE,1.1,2023-05-05,1,594
42475742,200108752,CUIDADO PERSONAL,ESIKA,36.0,2023-05-05,3,594
50642070,400097772,Others,GENERICA,0.23,2023-05-05,1,594
48264662,400097836,Others,GENERICA,0.11,2023-05-05,1,594
43629654,400097849,Others,GENERICA,0.4,2023-05-05,1,594
33678932,400095708,Others,LBEL,0.8,2023-05-05,1,594
42320366,400095726,Others,GENERICA,0.8,2023-05-05,1,594
33678932,200095465,CUIDADO PERSONAL,ESIKA,18.0,2023-05-05,2,594
48722040,200095464,CUIDADO PERSONAL,ESIKA,18.0,2023-05-05,1,594
42475742,200103020,CUIDADO PERSONAL,ESIKA,36.0,2023-05-05,1,594
46798430,400095726,Others,GENERICA,0.8,2023-05-05,1,594
49974396,200095157,TRATAMIENTO CORPORAL,CYZONE,38.0,2023-05-05,1,594
