CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
048346014,200106562,MAQUILLAJE,CYZONE,13.90000,2023-02-14
043767909,200098795,MAQUILLAJE,CYZONE,16.90000,2023-01-31
049434669,200099047,FRAGANCIAS,ESIKA,19.95000,2023-01-23
049470762,200103028,CUIDADO PERSONAL,ESIKA,17.90000,2023-01-30
047948835,210102338,BIJOUTERIE,ESIKA,39.90000,2023-02-01
049206860,210100187,PROMOCION USUARIOS,LBEL,44.66000,2023-02-01
031826446,200083997,FRAGANCIAS,ESIKA,43.90000,2023-02-07
045494314,200090349,CUIDADO PERSONAL,ESIKA,23.90000,2023-02-06
047499070,200097067,CUIDADO PERSONAL,ESIKA,24.88000,2023-02-10
049728603,210092742,MAQUILLAJE,ESIKA,29.90000,2023-02-02
033905173,200105219,TRATAMIENTO FACIAL,ESIKA,26.90000,2023-01-31
039630249,200083920,FRAGANCIAS,LBEL,17.38000,2023-02-06
049931050,200097947,FRAGANCIAS,CYZONE,23.98000,2023-02-09
044047470,210099656,COMPLEMENTOS,CYZONE,42.90000,2023-01-31
049740433,200103354,MAQUILLAJE,ESIKA,25.42000,2023-01-31
011976964,210100104,BIJOUTERIE,ESIKA,39.90000,2023-01-30
034191115,200108789,MAQUILLAJE,ESIKA,23.90000,2023-02-13
050291766,200102715,MAQUILLAJE,ESIKA,21.90000,2023-02-10
033090625,200090364,TRATAMIENTO CORPORAL,ESIKA,29.90000,2023-02-13
046779789,210099696,PROMOCION USUARIOS,CYZONE,0.85000,2023-02-08
011692060,200085822,FRAGANCIAS,ESIKA,19.90000,2023-02-06
046114531,200086399,FRAGANCIAS,LBEL,15.00000,2023-01-31
044045680,200103026,CUIDADO PERSONAL,ESIKA,28.90000,2023-02-02
047499070,200109169,MAQUILLAJE,CYZONE,15.90000,2023-02-10
040764801,200105180,CUIDADO PERSONAL,CYZONE,10.90000,2023-02-02
049566263,200099203,MAQUILLAJE,LBEL,58.00000,2023-02-01
047948835,200112474,TRATAMIENTO CORPORAL,LBEL,34.95000,2023-02-01
048346014,200102104,MAQUILLAJE,CYZONE,11.39000,2023-02-09
048855490,210100407,CUIDADO PERSONAL,CYZONE,13.54000,2023-01-30
048674135,210101981,COMPLEMENTOS,CYZONE,46.90000,2023-02-07
004623541,200100052,MAQUILLAJE,ESIKA,35.90000,2023-02-06
049566263,200101589,MAQUILLAJE,ESIKA,17.90000,2023-02-01
033777957,200106556,MAQUILLAJE,CYZONE,17.90000,2023-02-02
049814240,200113792,MAQUILLAJE,CYZONE,22.90000,2023-02-06
033090625,210102382,BIJOUTERIE,ESIKA,39.90000,2023-02-13
046611063,210099771,HOGAR,CYZONE,21.00000,2023-01-31
050302369,210100298,PROMOCION USUARIOS,ESIKA,0.77000,2023-02-09
050034054,210101379,BIJOUTERIE,ESIKA,59.90000,2023-02-03
044196425,200105270,TRATAMIENTO FACIAL,LBEL,57.00000,2023-02-03
049401760,200082688,CUIDADO PERSONAL,ESIKA,12.30000,2023-02-07
047499070,200101074,MAQUILLAJE,CYZONE,12.63000,2023-02-10
033529260,200098264,FRAGANCIAS,ESIKA,15.00000,2023-02-07
033529260,200098799,MAQUILLAJE,CYZONE,16.90000,2023-02-07
030803868,200095157,TRATAMIENTO CORPORAL,CYZONE,18.39000,2023-02-07
030185862,210102311,BIJOUTERIE,ESIKA,47.90000,2023-01-31
049588232,210096211,MAQUILLAJE,ESIKA,18.90000,2023-02-06
049401760,200109874,FRAGANCIAS,CYZONE,24.90000,2023-02-07
049621434,200102063,MAQUILLAJE,CYZONE,50.90000,2023-02-09
046779789,200095170,CUIDADO PERSONAL,ESIKA,5.76000,2023-02-08
049705387,210097838,COMPLEMENTOS,CYZONE,46.90000,2023-02-07
048855490,200090349,CUIDADO PERSONAL,ESIKA,23.90000,2023-01-30
042759880,200108161,MAQUILLAJE,CYZONE,13.90000,2023-01-31
003441296,200095864,FRAGANCIAS,LBEL,99.00000,2023-02-07
033090625,200103920,MAQUILLAJE,CYZONE,22.90000,2023-02-13
039625989,210092218,CUIDADO PERSONAL,ESIKA,15.90000,2023-01-31
049740433,200098800,MAQUILLAJE,CYZONE,16.90000,2023-01-31
049588232,200102647,MAQUILLAJE,ESIKA,19.90000,2023-02-06
049728603,210092785,HOGAR,CYZONE,21.90000,2023-02-02
044413795,200107360,MAQUILLAJE,CYZONE,13.90000,2023-02-02
033777957,200102433,FRAGANCIAS,ESIKA,26.30000,2023-02-02
036649356,210100407,CUIDADO PERSONAL,CYZONE,30.90000,2023-02-15
046779789,200098800,MAQUILLAJE,CYZONE,16.90000,2023-02-08
041317310,200105125,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-31
044661489,210100408,CUIDADO PERSONAL,CYZONE,22.90000,2023-02-08
048658954,200103022,CUIDADO PERSONAL,ESIKA,16.34000,2023-02-13
011976964,200101573,MAQUILLAJE,ESIKA,17.90000,2023-01-30
040307516,200109874,FRAGANCIAS,CYZONE,24.90000,2023-02-13
046627121,200107337,TRATAMIENTO FACIAL,CYZONE,25.90000,2023-02-07
050086135,200102370,FRAGANCIAS,ESIKA,16.44000,2023-02-01
041317310,200097066,CUIDADO PERSONAL,ESIKA,27.48000,2023-01-31
049728603,200109874,FRAGANCIAS,CYZONE,34.90000,2023-02-02
050034054,200086432,FRAGANCIAS,ESIKA,27.30000,2023-02-03
049330626,200103354,MAQUILLAJE,ESIKA,14.80000,2023-02-13
033529260,200107348,MAQUILLAJE,CYZONE,13.90000,2023-02-07
050147800,200084778,CUIDADO PERSONAL,CYZONE,15.90000,2023-02-08
049434669,200090337,CUIDADO PERSONAL,ESIKA,23.90000,2023-01-23
044661489,200097066,CUIDADO PERSONAL,ESIKA,31.90000,2023-02-08
045494314,200094936,FRAGANCIAS,CYZONE,21.90000,2023-02-06
044047470,200095426,CUIDADO PERSONAL,CYZONE,8.90000,2023-01-31
042759880,200106346,FRAGANCIAS,ESIKA,24.49000,2023-01-31
044045680,200103028,CUIDADO PERSONAL,ESIKA,17.90000,2023-02-02
033090625,210101275,BIJOUTERIE,CYZONE,26.90000,2023-02-13
049566263,200106290,FRAGANCIAS,ESIKA,31.24000,2023-02-01
049434669,200105041,FRAGANCIAS,ESIKA,25.35000,2023-01-23
047430550,200103452,CUIDADO PERSONAL,LBEL,7.38000,2023-02-09
042567566,210101246,COMPLEMENTOS,CYZONE,79.90000,2023-02-03
036649356,200106458,MAQUILLAJE,ESIKA,14.90000,2023-07-05
036649356,210095246,CUIDADO PERSONAL,CYZONE,23.90000,2023-07-05
050409260,200097066,CUIDADO PERSONAL,ESIKA,27.48000,2023-06-12
047383358,200093883,FRAGANCIAS,ESIKA,17.45000,2023-06-12
049588232,200106457,MAQUILLAJE,ESIKA,18.45000,2023-06-12
049588232,200106611,MAQUILLAJE,CYZONE,18.90000,2023-06-12
049588232,200092742,FRAGANCIAS,CYZONE,32.90000,2023-06-12
049588232,210100409,CUIDADO PERSONAL,LBEL,22.00000,2023-06-12
049588232,210101851,PROMOCION USUARIOS,CYZONE,0.95000,2023-06-12
050795365,200103020,CUIDADO PERSONAL,ESIKA,17.59000,2023-06-12
045680231,210102045,RELOJES,CYZONE,79.90000,2023-06-12
