consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
52508800,200106604,MAQUILLAJE,CYZONE,18.9,2024-07-22,11,325.1,430.195,151,0.17543859649122806,0.2021709633649932,2094.94,94,74
52208297,210100498,MAQUILLAJE,CYZONE,5.15,2024-07-22,16,376.7,430.195,151,0.2631578947368421,0.2021709633649932,3490.71,148,124
52508800,200115482,TRATAMIENTO FACIAL,CYZONE,27.9,2024-07-22,11,325.1,430.195,151,0.17543859649122806,0.2021709633649932,2094.94,94,74
52027209,200103025,CUIDADO PERSONAL,ESIKA,29.9,2024-07-22,3,174.70000000000002,430.195,151,0.03508771929824561,0.2021709633649932,1593.3999999999999,45,44
41059117,200112304,FRAGANCIAS,ESIKA,32.45,2024-07-22,15,522.8,430.195,151,0.24561403508771928,0.2021709633649932,4721.0199999999995,158,133
52502403,200103028,CUIDADO PERSONAL,ESIKA,18.9,2024-07-22,12,272.2,430.195,151,0.19298245614035087,0.2021709633649932,1683.1999999999998,66,56
52208297,200111132,MAQUILLAJE,CYZONE,9.75,2024-07-22,16,376.7,430.195,151,0.2631578947368421,0.2021709633649932,3490.71,148,124
41059117,200112355,CUIDADO PERSONAL,ESIKA,32.45,2024-07-22,15,522.8,430.195,151,0.24561403508771928,0.2021709633649932,4721.0199999999995,158,133
52208297,210100689,HOGAR,CYZONE,74.9,2024-07-22,16,376.7,430.195,151,0.2631578947368421,0.2021709633649932,3490.71,148,124
52071712,200103449,CUIDADO PERSONAL,CYZONE,10.9,2024-07-15,9,307.46000000000004,430.195,158,0.14035087719298245,0.21166892808683854,1544.22,57,49
52280400,200117468,MAQUILLAJE,ESIKA,13.9,2024-07-15,17,399.4,430.195,158,0.2807017543859649,0.21166892808683854,3601.0,128,103
48297765,200105017,FRAGANCIAS,CYZONE,18.26,2024-07-15,17,348.75,430.195,158,0.2807017543859649,0.21166892808683854,9000.74,373,230
52071712,200106854,FRAGANCIAS,LBEL,43.45,2024-07-15,9,307.46000000000004,430.195,158,0.14035087719298245,0.21166892808683854,1544.22,57,49
48297765,200117468,MAQUILLAJE,ESIKA,13.9,2024-07-15,17,348.75,430.195,158,0.2807017543859649,0.21166892808683854,9000.74,373,230
39625989,200105188,CUIDADO PERSONAL,ESIKA,7.38,2024-07-15,17,411.36,430.195,158,0.2807017543859649,0.21166892808683854,8838.3,356,233
52280400,210105999,BIJOUTERIE,CYZONE,24.9,2024-07-15,17,399.4,430.195,158,0.2807017543859649,0.21166892808683854,3601.0,128,103
47780152,200103449,CUIDADO PERSONAL,CYZONE,11.8,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
52128625,200106492,MAQUILLAJE,ESIKA,8.9,2024-07-23,12,210.54999999999998,430.195,150,0.19298245614035087,0.20081411126187246,1655.9,71,62
50368645,200108048,FRAGANCIAS,CYZONE,17.47,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
50368645,210102115,MAQUILLAJE,CYZONE,12.9,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
47780152,200112357,CUIDADO PERSONAL,ESIKA,32.9,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
47780152,200117468,MAQUILLAJE,ESIKA,13.9,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
51890019,210098521,MAQUILLAJE,CYZONE,14.9,2024-07-23,13,383.8,430.195,150,0.21052631578947367,0.20081411126187246,4085.89,141,120
52235367,200095570,CUIDADO PERSONAL,ESIKA,9.23,2024-07-23,14,460.8,430.195,150,0.22807017543859648,0.20081411126187246,3516.1,80,63
45325695,200105017,FRAGANCIAS,CYZONE,14.98,2024-07-23,10,324.23,430.195,150,0.15789473684210525,0.20081411126187246,10254.43,429,274
3441296,210103911,BIJOUTERIE,CYZONE,64.9,2024-07-23,8,262.87,430.195,150,0.12280701754385964,0.20081411126187246,7206.76,261,194
51890019,200115474,MAQUILLAJE,LBEL,37.45,2024-07-23,13,383.8,430.195,150,0.21052631578947367,0.20081411126187246,4085.89,141,120
50368645,210098403,TRATAMIENTO CORPORAL,LBEL,12.9,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
50368645,200095162,CUIDADO PERSONAL,ESIKA,4.98,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
52222087,200095500,FRAGANCIAS,ESIKA,44.9,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
3441296,200103027,CUIDADO PERSONAL,ESIKA,16.63,2024-07-23,8,262.87,430.195,150,0.12280701754385964,0.20081411126187246,7206.76,261,194
52222087,210097037,MAQUILLAJE,CYZONE,17.9,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
52328195,210098462,MAQUILLAJE,CYZONE,16.9,2024-07-23,10,277.0,430.195,150,0.15789473684210525,0.20081411126187246,1559.55,54,51
47687314,200082678,FRAGANCIAS,ESIKA,14.36,2024-07-23,11,351.0,430.195,150,0.17543859649122806,0.20081411126187246,4060.2799999999997,123,103
47780152,200115587,FRAGANCIAS,CYZONE,40.9,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
52063728,200115278,TRATAMIENTO FACIAL,ESIKA,27.9,2024-07-23,18,522.9,430.195,150,0.2982456140350877,0.20081411126187246,3917.46,150,126
50368645,200095426,CUIDADO PERSONAL,CYZONE,4.98,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
52222087,200111299,MAQUILLAJE,LBEL,34.0,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
47780152,200089509,FRAGANCIAS,ESIKA,49.9,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
48341519,200112748,MAQUILLAJE,ESIKA,13.9,2024-07-08,9,308.4,430.195,165,0.14035087719298245,0.22116689280868385,9324.74,384,284
44109905,200109538,FRAGANCIAS,LBEL,32.9,2024-07-08,8,226.79999999999998,430.195,165,0.12280701754385964,0.22116689280868385,4548.33,159,125
48341519,210093312,ACCESORIOS COSMETICOS,ESIKA,21.9,2024-07-08,9,308.4,430.195,165,0.14035087719298245,0.22116689280868385,9324.74,384,284
45325695,210105499,RELOJES,ESIKA,89.9,2024-07-23,10,324.23,430.195,150,0.15789473684210525,0.20081411126187246,10254.43,429,274
51890019,210105249,MAQUILLAJE,CYZONE,67.9,2024-07-23,13,383.8,430.195,150,0.21052631578947367,0.20081411126187246,4085.89,141,120
52307686,200108409,FRAGANCIAS,ESIKA,30.14,2024-07-23,6,173.5,430.195,150,0.08771929824561403,0.20081411126187246,1350.1,45,43
47430550,200116779,MAQUILLAJE,CYZONE,16.9,2024-07-23,7,172.6,430.195,150,0.10526315789473684,0.20081411126187246,11728.68,414,309
52307686,200106346,FRAGANCIAS,ESIKA,39.9,2024-07-23,6,173.5,430.195,150,0.08771929824561403,0.20081411126187246,1350.1,45,43
52128625,200113207,MAQUILLAJE,LBEL,16.47,2024-07-23,12,210.54999999999998,430.195,150,0.19298245614035087,0.20081411126187246,1655.9,71,62
47780152,200095465,CUIDADO PERSONAL,ESIKA,12.9,2024-07-23,20,669.3,430.195,150,0.3333333333333333,0.20081411126187246,3854.2,115,96
3441296,200085822,FRAGANCIAS,ESIKA,37.83,2024-07-23,8,262.87,430.195,150,0.12280701754385964,0.20081411126187246,7206.76,261,194
52235367,200100866,FRAGANCIAS,ESIKA,75.48,2024-07-23,14,460.8,430.195,150,0.22807017543859648,0.20081411126187246,3516.1,80,63
50368645,200103452,CUIDADO PERSONAL,LBEL,4.98,2024-07-23,27,284.6,430.195,150,0.45614035087719296,0.20081411126187246,9109.95,482,280
52222087,210104961,COMPLEMENTOS,CYZONE,69.9,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
