CODPRODUCTOSAP,DESSUBTIPO
200013599,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013600,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013602,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013603,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013604,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013605,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013607,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
200013610,CUIDADO PERSONAL/DESODORANTES/BARRA/FEMENINOS
200013611,CUIDADO PERSONAL/DESODORANTES/BARRA/FEMENINOS
200013612,CUIDADO PERSONAL/DESODORANTES/TUBO POTE/FEMENINOS
200013614,MUESTRAS COSMETICOS/CUIDADO PERSONAL/DESODORANTE/TRIAL SIZE
200013615,CUIDADO PERSONAL/DESODORANTES/ROLL-ON/FEMENINOS
200013617,CUIDADO PERSONAL/DESODORANTES/ROLL-ON/FEMENINO
200013620,CUIDADO PERSONAL/DESODORANTES/ROLL-ON/FEMENINOS
200013621,CUIDADO PERSONAL/DESODORANTES/ROLL-ON/FEMENINOS
200013622,CUIDADO PERSONAL/DESODORANTES/ATOMIZADOR-PUMP-SPRAY/FEMENINOS
200013623,CUIDADO PERSONAL/DESODORANTES/ATOMIZADOR-PUMP-SPRAY/FEMENINOS
200013624,CUIDADO PERSONAL/DESODORANTES/ATOMIZADOR-PUMP-SPRAY/FEMENINOS
200013625,FRAGANCIAS/DAMAS/ESTUCHES/VARIOS
200013626,CUIDADO PERSONAL/JABONES/DAMAS/DECORATIVO
200013627,CUIDADO PERSONAL/JABONES/DAMAS/DECORATIVO
200013628,CUIDADO PERSONAL/JABONES/DAMAS/DECORATIVO
200013630,CUIDADO PERSONAL/JABONES/DAMAS/DECORATIVO
200013631,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS
200013632,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS
200013633,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS
200013637,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS
200013638,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS
200013639,MUESTRAS COSMETICOS/FRAGANCIAS/ESTUCHES/VARIOS
200013641,FRAGANCIAS/DAMAS/PERFUMES/LIQUIDO
200013642,FRAGANCIAS/DAMAS/PERFUMES/GLACE
200013646,MUESTRAS COSMETICOS/CUIDADO PERSONAL/TALCO/TRIAL SIZE
200013649,CUIDADO PERSONAL/TALCOS/DAMAS/TALQUERA
200013651,CUIDADO PERSONAL/TALCOS/DAMAS/TALQUERA
200013653,CUIDADO PERSONAL/TALCOS/DAMAS/TALQUERA
200013654,CUIDADO PERSONAL/TALCOS/DAMAS/TALQUERA
200013656,DAMAS/DE VESTIR/POLO MANGA CORTA/MODA
200013657,DAMAS/DE VESTIR/POLO MANGA CORTA/MODA
200013658,MAQUILLAJE/CUERPO/CUERPO/POLVOS SUELTOS
200013659,MAQUILLAJE/CUERPO/CUERPO/POLVOS SUELTOS
200013662,DAMAS/DE VESTIR/CORREA/METAL
200013663,MAQUILLAJE/CUERPO/CUERPO/POLVOS SUELTOS
200013670,MAQUILLAJE/CUERPO/CUERPO/POLVOS SUELTOS
200013673,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013674,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013675,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013676,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013677,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013678,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013679,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013680,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013681,DAMAS/DE VESTIR/BLUSA MANGA LARGA/MODA
200013682,DAMAS/DE VESTIR/CARDIGAN/MODA
